Execute poe command line: poe  /glade2/scratch2/kpaul/yellowstone/ReshaperBenchmark/sbin/gendata.py -o input -p atmse0p25deg. -d 1,30,777600 -v 10 -v 100,0,2 -v 100,0,1,2 -n 120
Creating time-slice files in output directory: input
MPI Environment Size: 16

[1/16]: Creating file: input/atmse0p25deg.1.nc
[2/16]: Creating file: input/atmse0p25deg.2.nc
[3/16]: Creating file: input/atmse0p25deg.3.nc
[4/16]: Creating file: input/atmse0p25deg.4.nc
[5/16]: Creating file: input/atmse0p25deg.5.nc
[6/16]: Creating file: input/atmse0p25deg.6.nc
[7/16]: Creating file: input/atmse0p25deg.7.nc
[8/16]: Creating file: input/atmse0p25deg.8.nc
[9/16]: Creating file: input/atmse0p25deg.9.nc
[10/16]: Creating file: input/atmse0p25deg.10.nc
[11/16]: Creating file: input/atmse0p25deg.11.nc
[12/16]: Creating file: input/atmse0p25deg.12.nc
[13/16]: Creating file: input/atmse0p25deg.13.nc
[14/16]: Creating file: input/atmse0p25deg.14.nc
[0/16]: Creating file: input/atmse0p25deg.0.nc
[15/16]: Creating file: input/atmse0p25deg.15.nc
[2/16]: Creating file: input/atmse0p25deg.18.nc
[14/16]: Creating file: input/atmse0p25deg.30.nc
[15/16]: Creating file: input/atmse0p25deg.31.nc
[12/16]: Creating file: input/atmse0p25deg.28.nc
[1/16]: Creating file: input/atmse0p25deg.17.nc
[7/16]: Creating file: input/atmse0p25deg.23.nc
[5/16]: Creating file: input/atmse0p25deg.21.nc
[13/16]: Creating file: input/atmse0p25deg.29.nc
[9/16]: Creating file: input/atmse0p25deg.25.nc
[11/16]: Creating file: input/atmse0p25deg.27.nc
[4/16]: Creating file: input/atmse0p25deg.20.nc
[0/16]: Creating file: input/atmse0p25deg.16.nc
[6/16]: Creating file: input/atmse0p25deg.22.nc
[8/16]: Creating file: input/atmse0p25deg.24.nc
[3/16]: Creating file: input/atmse0p25deg.19.nc
[10/16]: Creating file: input/atmse0p25deg.26.nc
[1/16]: Creating file: input/atmse0p25deg.33.nc
[12/16]: Creating file: input/atmse0p25deg.44.nc
[14/16]: Creating file: input/atmse0p25deg.46.nc
[15/16]: Creating file: input/atmse0p25deg.47.nc
[9/16]: Creating file: input/atmse0p25deg.41.nc
[13/16]: Creating file: input/atmse0p25deg.45.nc
[11/16]: Creating file: input/atmse0p25deg.43.nc
[0/16]: Creating file: input/atmse0p25deg.32.nc
[2/16]: Creating file: input/atmse0p25deg.34.nc
[6/16]: Creating file: input/atmse0p25deg.38.nc
[8/16]: Creating file: input/atmse0p25deg.40.nc
[4/16]: Creating file: input/atmse0p25deg.36.nc
[10/16]: Creating file: input/atmse0p25deg.42.nc
[3/16]: Creating file: input/atmse0p25deg.35.nc
[5/16]: Creating file: input/atmse0p25deg.37.nc
[7/16]: Creating file: input/atmse0p25deg.39.nc
[12/16]: Creating file: input/atmse0p25deg.60.nc
[14/16]: Creating file: input/atmse0p25deg.62.nc
[15/16]: Creating file: input/atmse0p25deg.63.nc
[1/16]: Creating file: input/atmse0p25deg.49.nc
[2/16]: Creating file: input/atmse0p25deg.50.nc
[9/16]: Creating file: input/atmse0p25deg.57.nc
[11/16]: Creating file: input/atmse0p25deg.59.nc
[13/16]: Creating file: input/atmse0p25deg.61.nc
[6/16]: Creating file: input/atmse0p25deg.54.nc
[0/16]: Creating file: input/atmse0p25deg.48.nc
[8/16]: Creating file: input/atmse0p25deg.56.nc
[3/16]: Creating file: input/atmse0p25deg.51.nc
[10/16]: Creating file: input/atmse0p25deg.58.nc
[4/16]: Creating file: input/atmse0p25deg.52.nc
[5/16]: Creating file: input/atmse0p25deg.53.nc
[7/16]: Creating file: input/atmse0p25deg.55.nc
[15/16]: Creating file: input/atmse0p25deg.79.nc
[12/16]: Creating file: input/atmse0p25deg.76.nc
[14/16]: Creating file: input/atmse0p25deg.78.nc
[1/16]: Creating file: input/atmse0p25deg.65.nc
[0/16]: Creating file: input/atmse0p25deg.64.nc
[13/16]: Creating file: input/atmse0p25deg.77.nc
[2/16]: Creating file: input/atmse0p25deg.66.nc
[9/16]: Creating file: input/atmse0p25deg.73.nc
[11/16]: Creating file: input/atmse0p25deg.75.nc
[6/16]: Creating file: input/atmse0p25deg.70.nc
[10/16]: Creating file: input/atmse0p25deg.74.nc
[3/16]: Creating file: input/atmse0p25deg.67.nc
[4/16]: Creating file: input/atmse0p25deg.68.nc
[5/16]: Creating file: input/atmse0p25deg.69.nc
[7/16]: Creating file: input/atmse0p25deg.71.nc
[8/16]: Creating file: input/atmse0p25deg.72.nc
[15/16]: Creating file: input/atmse0p25deg.95.nc
[14/16]: Creating file: input/atmse0p25deg.94.nc
[12/16]: Creating file: input/atmse0p25deg.92.nc
[1/16]: Creating file: input/atmse0p25deg.81.nc
[0/16]: Creating file: input/atmse0p25deg.80.nc
[13/16]: Creating file: input/atmse0p25deg.93.nc
[2/16]: Creating file: input/atmse0p25deg.82.nc
[6/16]: Creating file: input/atmse0p25deg.86.nc
[11/16]: Creating file: input/atmse0p25deg.91.nc
[10/16]: Creating file: input/atmse0p25deg.90.nc
[3/16]: Creating file: input/atmse0p25deg.83.nc
[9/16]: Creating file: input/atmse0p25deg.89.nc
[4/16]: Creating file: input/atmse0p25deg.84.nc
[5/16]: Creating file: input/atmse0p25deg.85.nc
[8/16]: Creating file: input/atmse0p25deg.88.nc
[15/16]: Creating file: input/atmse0p25deg.111.nc
[12/16]: Creating file: input/atmse0p25deg.108.nc
[14/16]: Creating file: input/atmse0p25deg.110.nc
[7/16]: Creating file: input/atmse0p25deg.87.nc
[1/16]: Creating file: input/atmse0p25deg.97.nc
[0/16]: Creating file: input/atmse0p25deg.96.nc
[6/16]: Creating file: input/atmse0p25deg.102.nc
[2/16]: Creating file: input/atmse0p25deg.98.nc
[13/16]: Creating file: input/atmse0p25deg.109.nc
[11/16]: Creating file: input/atmse0p25deg.107.nc
[10/16]: Creating file: input/atmse0p25deg.106.nc
[3/16]: Creating file: input/atmse0p25deg.99.nc
[9/16]: Creating file: input/atmse0p25deg.105.nc
[4/16]: Creating file: input/atmse0p25deg.100.nc
[5/16]: Creating file: input/atmse0p25deg.101.nc
[8/16]: Creating file: input/atmse0p25deg.104.nc
[7/16]: Creating file: input/atmse0p25deg.103.nc
[2/16]: Creating file: input/atmse0p25deg.114.nc
[0/16]: Creating file: input/atmse0p25deg.112.nc
[6/16]: Creating file: input/atmse0p25deg.118.nc
[1/16]: Creating file: input/atmse0p25deg.113.nc
[3/16]: Creating file: input/atmse0p25deg.115.nc
[4/16]: Creating file: input/atmse0p25deg.116.nc
[5/16]: Creating file: input/atmse0p25deg.117.nc
[7/16]: Creating file: input/atmse0p25deg.119.nc

Maximum Process Runtime: 1170.17467499 seconds
